tweet_date,tweet,sentiment,
7/10/2021 14:36,ڈاکٹر تمہیں کیا پتا ھمارے مرشد نے کھا ھے اس کو جن ھے  ,,
7/10/2021 14:36,شل نه ڪنهن کي بسڪوٽ کائيندو ڏسون...... ,,
7/10/2021 14:36,جمعو جمعو اٺ ڏينھن وري اسان سان ٿو نمونا ڪري ,,
7/10/2021 14:36,هيييييي ڪوڙا... ,,
7/10/2021 14:36,اڄ ڪلھ ماين جو دور آ ,,
7/10/2021 14:35,ايس ايس ته ڏجان ,,
7/10/2021 14:35,عقل لڀي ڪون پگهار وڌائي ,,
7/10/2021 14:35,آئي ٽانڊو وٺڻ. ڌنياڻي ٿي ويھي رھي ,,
7/10/2021 14:35,ھروڀرو ٽرينڊ هلايو ,,
7/10/2021 14:35,زوري مذهب تبديلي ,,
7/10/2021 14:35,پمپل نڪتو ٿئي صبح سان اٿي ٿڪ هڻجانس لهي ويندئي ,,
7/10/2021 14:35,جنھن جي نظر ڪمزو ھجي، ان کي چوڻ ,,
7/10/2021 14:33,ھاھاھا ,,
7/10/2021 14:33,چھورا بگڑتا جا رھا ھے اس کی شادی کروا دو  ,,
7/10/2021 14:33,ھڪ پير قبر  اٿس تڏھن بہ نہ ٿو مُڙي ,,
7/10/2021 14:32,ننڍڙو ماني گھٽ ٿو کائي، ,,
7/10/2021 14:31,ھاھاھاھا ,,
7/10/2021 14:31,ملڪ رياض جي قبضاگيري ,,
7/10/2021 14:30,هڪ الله جو نالو ٻيو ڪڪڙ سان ماني ,,
7/10/2021 14:30,جڏهن کان آيو آھين گھر  رڳو جھيڙا اٿئي ,,
7/10/2021 14:30,ھل ھل تنھنجي گهاٽي سرنھن ڏٺي اسان بہ. ,,
7/10/2021 14:27,چري کي ڄائو پُٽ چميون ڏئي ناري ڇڏيائين ,,
7/10/2021 14:27,چري کي چوڙو ڪڏهن هٿ  ته ڪڏهن ٻانهن تي ,,
7/10/2021 14:27,ھاھاھاھا ,,
7/10/2021 14:27,شادي جي ڪاڄ  سئوٽ کي برياني  ٻوٽي نه ملي ته مائٽي ختم.. ,,
7/10/2021 14:27,ڄٽ فٽ ھڪ آھن ,,
7/10/2021 14:27,ھاھاھا ,,
7/10/2021 14:26,واندا ويٺا آهيون، ,,
7/10/2021 14:25,هائي ڙي منهنجا رب، پوکيم ساريون ڄميا ڊڀ ,,
7/10/2021 14:25,ھاھاھاھا ,,
7/10/2021 14:25,بابو ننڍي هوندي گذاري ,,
7/10/2021 14:25,بصر مھانگا ٽماٽا مھانگا ٽرينڊ ھلايو ,,
7/10/2021 14:25,ھھاھاھا ,,
7/10/2021 14:24,روڊ ناھي، ليئبرري ٽرينڊ ھلايو ,,
7/10/2021 14:23,ويلا ٽار ,,
7/10/2021 14:23,پلي پچائي اٿوَ ڇا؟؟ ,,
7/10/2021 14:23,تنهنجي خاندان وارا ته ڀلا ان تون ڪنهن تي ويو آن لوسي. ,,
7/10/2021 14:23,عشق پڪوڙن تي ,,
7/10/2021 14:22,نوڪريون پئسي  واسطي وارن لاء آھن ,,
7/10/2021 14:22,ھتيت ,,
7/10/2021 14:22,ھاھاھا ,,
7/10/2021 14:21,خراب ڪپڙو کڻي اچ تہ موٽرسائيڪل صاف ڪيان ,,
7/10/2021 14:21,ڄٽ  فٽ ٻڌو ڀلو ,,
7/10/2021 14:20,ھاھاھاھاھا ,,
7/10/2021 14:20,سڄي ڳوٺ جي گلا کان پو. ,,
7/10/2021 14:20,تنھنجو ماڻھو پھچي ,,
7/10/2021 14:19,سهندو ڪير ميار ,,
7/10/2021 14:19,آھي ته عيد، ناھي ته روزو  ,,
7/10/2021 14:19,ھاھاھا ,,
7/10/2021 14:19,بند ڪمرو ھجي ان ڪمري  بند پاڻ ھجون ڄاٻي گم ٿي وڄي ,,
7/10/2021 14:18,ڪراچي ماڻھين ڏاج  کڻي آئي ھئي ڇا  ,,
7/10/2021 14:18,کراچی لے جاؤ بچنا مشکل ھے ,,
7/10/2021 14:18,صفا ڪو لوگھو آھين ,,
7/10/2021 14:17,ڪڙڪ چانھ بجاءِ چوڻ ڇورا اڄ لونڊيباز چانھ پيار ڪا ,,
7/10/2021 14:16,ٽر منھنجي اکين مان ,,
7/10/2021 14:16,ھاھاھاھا ,,
7/10/2021 14:15,ھل با وڇا رلي، کڻ پنھنجي ڀاءَ کي. ,,
7/10/2021 14:14,ھاھاھاھا ,,
7/10/2021 14:13,وڏو ڪتو آ  ,,
7/10/2021 14:13,ماڻھون تو کي چريو ٿا ڪن ,,
7/10/2021 14:13,اڙي هي ته وٺه پنج ,,
7/10/2021 14:13,جنهن جي گونديءَ  داڻا، ,,
7/10/2021 14:13,ھاھاھا ,,
7/10/2021 14:12,يار تون تہ صفا ڪو ٻار آن ,,
7/10/2021 14:11,يار اھڙو ڪيو ٿم ڪراچي، ھوش ٿي ويو آ گم  ,,
7/10/2021 14:10,ٽوئيٽ تي زرداري کي ڌمڪيون ڏيڻ، جھڙو باجوي جا پٽ ھجن  ,,
7/10/2021 14:10,انڌن وڃي ملتان لڌو ,,
7/10/2021 14:09,ٽر ھتان  ,,
7/10/2021 14:09,هل ڙي وات ڳاڙها ٽرڙا ڇورا ,,
7/10/2021 14:09,ھاھاھاھاھا ھلائي ٿئي ميسج چور ,,
7/10/2021 14:08,تون ڄائو ھوئين  ماڻھين مٿي کي پٽيون ٿي ٻڌيون. ,,
7/10/2021 14:08,ھاھاھاھا ,,
7/10/2021 14:08,تو کان ڪم زور آ، وڃي ڇولا کپا ,,
7/10/2021 14:08,اسان ڇا گهڙون ٿا ,,
7/10/2021 14:08,اڃا سنڌ گدڙن ناھي کاڌي ,,
7/10/2021 14:08,لڀي گھر  لٺ ڪا نه، چئي بابو بندوقن وارو.  ,,
7/10/2021 14:07,سڀاڳو پُٽ پينگهي  پڌرو ,,
7/10/2021 14:06,دنيا اميد تي  قائم آ ,,
7/10/2021 14:05,مرسون مرسون سنڌ نه ڏيسون ,,
7/10/2021 14:05,ھاھاھا ,,
7/10/2021 14:05,ھاھاھا ,,
7/10/2021 14:04,ھاھاھاھا ,,
7/10/2021 14:03,ھاھاھا ,,
7/10/2021 14:02,ھاھاھا ,,
7/10/2021 14:02,ڪال پھتس 5 منٽس  ,,
7/10/2021 14:00,وڃي گھر مرو چريا کريا اسان جي ڳاٽي  اچي لڳا آھن  ,,
7/10/2021 13:59,جڏھن ڇوڪرو انگريزي ڳالھائي ,,
7/10/2021 13:57,ماليڪمسلام ,,
7/10/2021 13:57,ھاھاھاھا ,,
7/10/2021 13:57,ھاھاھاھا ,,
7/10/2021 13:56,هل ابا موٽر کي ڌڪي آ مينهن پيو وسي.. ,,
7/10/2021 13:56,عشرو مشرو آزادي  ,,
7/10/2021 13:56,ڀٽو سدائين زنده آهي. ,,
7/10/2021 13:56,وڏي جو رشتو نٿا ڏيو تہ کڻي ننڍي جو ڏئي ڇڏيو ,,
7/10/2021 13:55,ایک دن میں شوٹ ہونے والی سندھی فلم ساتویں عالمی میلے کے لیے منتخب ,,
7/10/2021 13:55,دھل وڄي  دوسو نه نچي ,,
7/10/2021 13:55,ڪاٽن جو وڳو پائي وڏي لي پئي ڪري اھو تو واري ماسات ,,
7/10/2021 13:55,جنت الفردوس آهن ٻه ئي ڪنڌيون مهراڻَ جون۔۔ ,,
7/10/2021 13:55,ھاھاھاھا ,,
7/10/2021 13:55,توھان کي آنلائن ڏسي مون کي ڏاڌي خوشي ٿيندي آ ,,
7/10/2021 13:54,تون ڄائي هئين يا نالِي مان لڌو هيئون ,,
7/10/2021 13:47,ھاھاھا ,,
7/10/2021 13:47,ڇورا وات ڳاڙھا، ھاٹي ڪامریٽي ٿا ,,
7/10/2021 13:47,ڇورا ڪيڙو اٿئي ڇا جو ھڪ ھنڌ نٿو ويھين ,,
7/10/2021 13:47,ھڪ غريب جو ٻار ٻيو جاڏي ڪاڏي تيار ,,
7/10/2021 13:47,ھلا ٿئي نفسياتي ,,
7/10/2021 13:46,ھاھاھا ,,
7/10/2021 13:46,رُڳو رُلدا وتئين، ميھان تيڏا پيو پلائسي؟ ,,
7/10/2021 13:46,ھاھاھاھا ,,
7/10/2021 13:46,اسان پاڻ کي بچايون يا توهان کي بچايون.. ,,
7/10/2021 13:46,سنگت دل ن لاھيو بس ھڪ ڌڪ ٽڪرا ,,
7/10/2021 13:46,ڀلي مار کائي اسان جو ڇا ,,
7/10/2021 13:46,ڇوري رڳو ٿي ڏند ڪرٽي پڪ سان نڀاڳي آھي ,,
7/10/2021 13:46,پني ,,
7/10/2021 13:46,بڈھے دروازہ کھولو ,,
7/10/2021 13:45,ھاھاھا ,,
7/10/2021 13:45,ھاھاھھا ,,
7/10/2021 13:44,ڇورا ھڪ ھنڌ وھين ڇو نٿو، ٻتڪو اٿئي ڇا؟ ,,
7/10/2021 13:44,ھاھاھاھا ,,
7/10/2021 13:44,ھڪڙي اڻھوند ٻيو افعال بڇڙا. ,,
7/10/2021 13:43,حجم جو پٽ ٿي لئي ٿو ڪرين.. اھڙا پادر کائيندين.. ,,
7/10/2021 13:43,ابا روئين ڇو ٿو ,,
7/10/2021 13:43,ھاھاھا ,,
7/10/2021 13:43,زندگي تيل ٿي وئي آء يار. ,,
7/10/2021 13:43,دنيا جو ڏکيو سوال ,,
7/10/2021 13:43,ٻيو ٻڌاءِ ,,
7/10/2021 13:43,دنيا  چڱا ڪم ڪرائي ٿي ڀنگ  ,,
7/10/2021 13:43,جيلون مردن لاء ٺھيون آھن ,,
7/10/2021 13:42,ڇورا پڻھين جي بادشاھي آھي ڇا؟ ,,
7/10/2021 13:41,ھاھاھا ,,
7/10/2021 13:41,سموسن تي جهڙو۔۔۔ ,,
7/10/2021 13:41,تون وري ڪھڙو ڪانڀو خان آھين ,,
7/10/2021 13:41,ڄائو ن ڄائو ناني مھانڊو. ,,
7/10/2021 13:41,ٽوئيٽر تي هڪ ٻئي جون ڄنگهون ڇڪڻ بند ڪيو ,,
7/10/2021 13:41,شڪيلان مان مري ويندو مانءِ ,,
7/10/2021 13:41,ڇل ڪا قلندر پاڙ پٽيس ,,
7/10/2021 13:41,ھاھاھاھاھا ,,
7/10/2021 13:41,ڇوڪرن جو قلندر جي مزار تي اچڻ کانپوءِ رات جو بہ ڪارو چشمو پائي گھمڻ. ,,
7/10/2021 13:40,ڀائو خيال سان اڳيان دادو اٿئي ,,
7/10/2021 13:40,ھاھاھا ,,
7/10/2021 13:39,امان مٿي  سور آھي، پيرين کي زور تہ ڏي  ,,
7/10/2021 13:39,ھاھاھا ,,
7/10/2021 13:39,اک پٽ سهڻا لاڙڪاڻو ٿئي... ,,
7/10/2021 13:39,پيٽ  سور آهي ,,
7/10/2021 13:39,ھاھاھا ,,
7/10/2021 13:39,ھاھاھا سائين ,,
7/10/2021 13:38,رشوت وٺڻ لاء اھو چوڻ يار اسانجو ڀلا حق ناھي. ,,
7/10/2021 13:38,ادا  ڇڏینس ، پوءِ بہ ڪڏھن ڪم پئجي سگھجي ٿو۰۰ ,,
7/10/2021 13:38,ڪامريڊ آ ڀتا وٺندو ھوندو پڪ سان ,,
7/10/2021 13:37,ھاھا پلستر واھ جو لفظ آھي ,,
7/10/2021 13:37,چاچا دينو تو وارو ننڍو ڇورو وڏو پلستر ٿو لگي ,,
7/10/2021 13:37,مخالف سڀ واٺا  پيپلن جي پگهار تي ھلن ٿا  ,,
7/10/2021 13:36,ھاھاھا ,,
7/10/2021 13:36,اھو نالو نڀاڳو آ خيرات ڪري نالو مٽايو ,,
7/10/2021 13:36,گھر مان پنڊي تي بـ نالو ڪون ٻاھر وري آھيان ــٔي مان ,,
7/10/2021 13:36,شادي ڪرايوس سڌري ويندؤ  ,,
7/10/2021 13:36,پئسي جو مستي آ ,,
7/10/2021 13:36,ادا اسان جي عزت جو مسئلو  ,,
7/10/2021 13:35,ادا ڏاڙھي ڇا سان لاھيندا آھيو،، ريزر يا ريگمال؟ ,,
7/10/2021 13:34,اسان اچون ٿا توهان ڪم پٽيو  ,,
7/10/2021 13:34,جهڙي تهڙي کي اسان کنگهون ئي ڪونه ,,
7/10/2021 13:34,ٻہ اکر پڙھي ڇوري جو مٿو خراب ٿي ويو آهي ,,
7/10/2021 13:34,سنڌ وري به ياسر ملوڪاڻي ڪاٺوڙ پُل وارو آزاد ڪرائيندو ,,
7/10/2021 13:34,توھان جو آواز ن پيو اچي ,,
7/10/2021 13:34,تڪڙي ڪتي انڌا گلر ڄڻي  ,,
7/10/2021 13:34,اڄ ڪلھ ما جي ياد ن آھي ,,
7/10/2021 13:33,ممتاز مولائي، ارشاد جاگيراڻي ، نگھت ناز ,,
7/10/2021 13:33,ھاھاھا ,,
7/10/2021 13:31,ھاھاھا ,,
7/10/2021 13:31,هل ڙي بندوق تنهجا ٺڪاءَ.... ,,
7/10/2021 13:30,مشتاق سرڪي وڏو ليڊر آھي ,,
7/10/2021 13:30,بيمار کي پڇڻ ويندا،دلداري  آٿت ڏيڻ بجاء چوندا.. ,,
7/10/2021 13:30,ھاھاھا ,,
7/10/2021 13:30,ٻڏي نه ٿو مرين.... ,,
7/10/2021 13:29,ھاھاھا ,,
7/10/2021 13:29,شڪيلا، مري ويندو مانء  ,,
7/10/2021 13:28,ھاھاھاھا ,,
7/10/2021 13:28,ڪار جو ھارن ن ھلي تـ شيشو کولي ڪري ھمراھن کي رڙ ڪندا ـ اڙي انڌو آ ڇا پري ٿي ,,
7/10/2021 13:28,ھاھاھا ,,
7/10/2021 13:28,لائيٽ جھٽڪو ڏئي وئي، ھاڻي ڪونہ ايندي ,,
7/10/2021 13:27,شادي ڪرايونس ٿا پوء پاڻھي ڪمائيندو ,,
7/10/2021 13:26,ھاھاھا ,,
7/10/2021 13:26,ھاھاھا ,,
7/10/2021 13:26,ڇوڪر خراب ٿي ويو آ پرڻايوس، پانهي اچي سڌو ڪندس  ,,
7/10/2021 13:26,سومر جھڙو گھر تھڙو ٻڪرين سان ,,
7/10/2021 13:26,ھاھاھاھاھاھا ,,
7/10/2021 13:26,ماءُ موري، پي بصر خان  ,,
7/10/2021 13:25,لڀي لٺ ڪونہ، چئي بابا بندوق وارو ,,
7/10/2021 13:25,ھاھاھا ,,
7/10/2021 13:24,ماڇين جو ڪُتو سوئر جو همراه ,,
7/10/2021 13:23,ھاھاھاھا ,,
7/10/2021 13:23,ھل ڙي لوسي ھڻاـٔي نـ موچڙا ,,
7/10/2021 13:23,رقيبن جا جهيڙا  ,,
7/10/2021 13:23,ھاھاھاھاھاھھاھاھاھاھا ,,
7/10/2021 13:23,اسپيسز .. ادي آئي آهي پھريان مائڪ ادي کي ڏيو ,,
7/10/2021 13:23,ھاھاھا ,,
7/10/2021 13:23,ھلڻ پاڻ کان ڪون پڄيس وري لک لعنت گوڏن تي ,,
7/10/2021 13:22,ھاھاھاھھاا ,,
7/10/2021 13:22,ڏوئي چٽيندين تي مڇون ڪونه ڄمندي ,,
7/10/2021 13:22,ھاھاھا ,,
7/10/2021 13:22,نالو نانا جو اٿس پر الائي ڪنهن تي ويو ڇورو ,,
7/10/2021 13:22,ھاھاھا ,,
7/10/2021 13:22,صاحبَ، ھُو زبان جو ڪِنو آ ، وڏو گاريل آ ، ڪھڙو ڀي آ پر دل جو صاف آ ، يار ويش ماڻھو آ   ,,
7/10/2021 13:18,ھاھاھھا ,,
7/10/2021 13:18,انڌي جھڙي ساھري تھڙي پيڪي ,,
7/10/2021 13:18,اھو نالو اسان جو آھي، اوھان پنھنجي ننڍڙي جو ڪيئن رکيو؟ ,,
7/10/2021 13:18,دعوت  ٻاڪرو ڪونه ھو  مزو ڪونه آيو ,,
7/10/2021 13:18,هلا ٿئي ويلا ٽارڻ وارا ,,
7/10/2021 13:18,ھاھاھاھا ساڳيا آيا ,,
7/10/2021 13:18,آيا ايا ديشي آيا ,,
7/10/2021 13:17,هتِ تنهنجا پُٽَ ڪليٽر ,,
7/10/2021 13:14,صفا ناناٹین تي ویو  آ ڇورو۰۰۰ ,,
7/10/2021 13:14,ھاھاھاھاھاھھاھاھا ,,
7/10/2021 13:14,دعوت ڀلي ڪيائين، ڪڪڙ، مڇي، پلاء. پر يار چانه نہ پيارين ,,
7/10/2021 13:14,کٽ اندر ڪريو مينھن ٿو وسي ,,
7/10/2021 13:13,گاڏي ڪاٿي پھتي آ استاد ,,
7/10/2021 13:13,کٽون اندر ڪيو مينهن اچي ويو ,,
7/10/2021 13:13,ھاھاھا  ,,
7/10/2021 13:09,ٽويٽر ڪنهن جي پاپا جو ناهي  ,,
7/10/2021 13:09,ڀنگ نشو نہ پر سنڌ جو قومي شربت آهي  ,,
7/10/2021 13:09,اسان گِلا ڪٿي، مڙئي ڳالھ پیا ڪیون  ,,
7/10/2021 13:08,اڙي خمیسا چرس ٿو کپائین ڇا؟ صاحب مڙئي ٻچن جي روزي۰۰۰  ,,
7/10/2021 13:08,اڙي اٽو نه  ڦڪ شادي وقت جک  طوفان ايندئي ,,
7/10/2021 13:08,ڇڏیوس ڪنن جو ڪچو آھي ,,
7/10/2021 13:07,ڪُني ٿو چٽين، شاديءَ رات مينهن وسندئي ,,
7/10/2021 13:06,استاد ڪٽيو آ هاڻي اسڪول نه ويندس امان  ,,
7/10/2021 13:06,نياڻي ست قرآن ,,
7/10/2021 13:04,ھڪ بيئر پي ٻه ڪامريڊ ٽن ,,
7/10/2021 13:04,ڇڏینس ڀلي ذلیل ٿئي  ,,
7/10/2021 13:03,سارين جو فصل لهي حاضر شادي ڪرايون ٿا  ,,
7/10/2021 13:01,ڪُني ٿو چٽين، شاديءَ رات مينهن وسندئي  ,,
7/10/2021 13:00,دنيا  گهر اندر ڪچھريون ٿينديون آھن، اسان وٽ موڪلائڻ مھل در تي ڪچھريون ڪيون وينديون آھن. ,,
7/10/2021 13:00,موٽرسائيڪل سوار کي چوڻ، ڀائو اسٽينڊ تہ مٿي ڪجو ,,
7/10/2021 12:59,ھاھاھا ,,
7/10/2021 12:59,چاچن مامن سان اينداسين  ,,
7/10/2021 12:59,ڪونہ بچندو، ڪراچي کڻائي وڃوس ,,
7/10/2021 12:58,ھاھاھھا ,,
7/10/2021 12:58,نوراني نور آ 10 رپيا گلاس آ ,,
7/10/2021 12:45,اڄ ته صفا چمڪي پيو ڪهڙي ڪريم ٿو  ,,
7/10/2021 12:44,ڀائو اڳٺ تہ مٿي ڪر  ,,
7/10/2021 12:42,ٽئٽر تي بہ چرين جي ريل ڀري پئي آهي  ,,
7/10/2021 12:00,ادا پوءِ منھنجو ڏوھ ناھي، آئينده رکندس تصوير نالو تہ اوھان کي ميسج ڪندس ,,
7/10/2021 11:56,ھاھاھاھاھاھاھا توکي خبر ناھي تہ اسان جا نالا تصويرون ڪھڙيون آھن؟ جيڪي دوست ھتي سرگرم آھن، انھن سڀني کي خبر آ ,,
7/10/2021 11:37,بلڪل پر مان پنھنجي نظريي کي ٺيڪ بہ سمجھان، پر مونکي اھو اختيار تہ ناھي جو توھان سان بدتميزي ڪيان. يا… ,,
7/10/2021 11:35,ھاھاھاھاھاھاھا  ,,
7/10/2021 11:35,ھاھاھاھاھاھاھا ,,
7/10/2021 11:30,ھا سائين ڇو نه ,,
